measure,notes,id,acronym,full_name,domain,table_name,construct,concatenated,visits,type,child_specific,respondent_category,respondent,administration,admin_notes,remote,duration,qc,hbcd_mods,scoring,alert1_title,alert1,alert2_title,alert2,alert3_title,alert3,warning1_title,warning1,warning2_title,warning2,warning3_title,warning3,warning4_title,warning4,warning5_title,warning5,Column 29
Household Chemical Exposures,,chem_exp,,Household Chemical Exposures,Social & Environmental Determinants,sed_cg_hce,Household Chemical Exposures,,V05,Parent Survey,Yes,Parent on Child,Birth Parent or Primary Caregiver,Self-administered in-person or remotely,,either,5 min,Response proportions and unusual missing patterns were reviewed.,"Certain instruction item prompts were modified for consistency and a subset of items were removed, updated, or added - <a href=""../chem-exposures_hbcd-mod.html"" target=""_blank"">see here for details</a>.",,,,,,,,,"Participants report information for the child’s primary residence. If a child spends at least 2-days per week in multiple homes, reporters are asked to provide information for the home they are most familiar with. As a result, exposures to secondhand smoke or chemicals in those additional environments is not captured, which may result in incomplete exposure data.",,,,,,,,,
Illumina Global Diversity GWAS Array,,illumina,GDA GWAS,Illumina Global Diversity GWAS Array,Biospecimen & Omics,,"GWAS, EWAS, Transcriptome","└── genetics/genotype_microarray/GDA/
    ├── batch.info
    └──  hbcd.{bed|bim|fam}","Samples are assayed from one sample (from parent and child), but may come from any visit (V01-V06) based on DNA yields.",Direct Assessment,,,Birth Parent & Child,,,,,"Check that sampled ID and sample-specific barcodes match from Sampled File and Lasso Database.
Check that genomic sex matches with sex at birth.
Check that genetic relatedness of each sample matches Lasso data (i.e., that IBD is ~0.25 between the birth parent and child as well as siblings; evaluate potential twins).
Use FHET estimates to check for plate contamination.
Visually inspect plate effects on principal component space derived from PC-Relate.
GDC Genomics QC pipeline analysis - see details and summary statistics <a href=""#gdc-genomics-qc-pipeline-analysis"">below</a>.",,,Anonymity,"Data users are prohibited from using HBCD data, including genomic data, to identify participants or their relatives. You accessed these data under a Data Use Certification (DUC) agreement in which you and your institution agreed that you would not attempt to establish the individual identity of any study participants or their relatives. You also agreed to adhere to a minimum cell threshold of 10 in any public reporting of data (i.e., publications, posters, or other presentations). Protecting participants’ anonymity demonstrates respect for them and minimizes their research-related risks.",Population Descriptors,"The use of population descriptors in genetic research has been varied and inconsistent. The National Academies of Science, Engineering, and Medicine (NASEM) published a report on the use of population descriptors, such as ancestry, race, ethnicity, and geography, in genomics (<a href=""https://doi.org/10.17226/26902"">https://doi.org/10.17226/26902</a>). We encourage data users working with HBCD genomics data to consult the NASEM report to understand the past and current use of population descriptors in genomics research as well as current best practice recommendations when analyzing or reporting on HBCD genomic data. Race and ethnicity represent social constructs that are conceptually distinct from ancestry inferred from genetic data. Description of race and ethnicity variables in HBCD may be found in <a href=""../../demo/basicdemo/#race-ethnicity-variables"" target=""_blank"">Basic Demographics</a>.",Ethical Obligations to Minimize Risks,"Analysts using HBCD data have ethical obligations to minimize risks, including psychological, social, and economic risks, to research participants who generously provided their data. Risk minimization includes avoiding stigmatizing language when describing participants or the populations with which they identify, their phenotypes, or their genetic risks. It also includes carefully and clearly articulating limitations and caveats when reporting results and discussing how the results should and should not be interpreted or generalized.

Results generated from HBCD data may be used to guide policy (e.g., for social services, education, or public health interventions). Researchers should be aware of policy implications and controversies related to their research. Some approaches for ethically conducting and reporting research using genetic data are discussed in <a href=""https://doi.org/10.1002/hast.1477"">Meyer et al. (2023)</a>, <i>Wrestling with Social and Behavioral Genomics: Risks, Potential Benefits, and Ethical Responsibility</i> (<b>The Hastings Center Report</b>).

Researchers cannot control how others, including members of the public and policy makers, interpret scientific results we publish. However, we can take steps to minimize the likelihood our results will be misinterpreted or overinterpreted. In addition to clearly denoting limitations and caveats when reporting results, specific approaches for working with genomic data in this context are discussed in <a href=""https://doi.org/10.1146/annurev-genom-011224-015733"">Martshenko et al. (2025)</a>, <i>Social and Behavioral Genomics: On the Ethics of the Research and Its Downstream Applications</i> (<b>Annual Reviews Genomics and Human Genetics</b>). For examples of brief documents that explain social and behavioral genomics for non-experts, see “FAQs on Human Genomics Studies” at <a href=""https://www.thehastingscenter.org/genomics-research-index/"">https://www.thehastingscenter.org/genomics-research-index/</a>.",Twins Present in Birth Parents,"The dataset includes two birth parents who are monozygotic twins (along with their respective families), which may complicate certain analyses. The participant IDs associated with this twin pair are under internal review and may be shared in a future update.",Data Exclusions,"A total of 22 samples were excluded from data release (i.e., are not contained in the public release files) due to poor genotyping quality (i.e., SNP Missingness >10%), unexpected unrelatedness with no confirmed use of reproductive technology, unexpected relatedness (i.e., identical samples across adults), and sex check mismatch.",,,,,,,
Infant Behavior Questionnaire-Revised VSF+BI,,ibqr,IBQ-R,Infant Behavior Questionnaire-Revised Very Short Form + Behavioral Inhibition,Behavior & Caregiver-Child Interactions,mh_cg_ibqr,Behavioral Inhibition Negative Affectivity Effortful Control Surgency / Extraversion,,"V03, V05",Parent Survey,Yes,,Primary Caregiver,,,remote,7-10 min,"Examine missingness by counting items answered per participant.
Check age is within expected ranges.
Review summary statistics and visualizations (item frequencies, age, prorated scores).
Assess reliability (Cronbach’s α).",,,,"The HBCD dataset includes many variables that may be important for sound and comprehensive analysis. The inclusion of additional variables will depend on the research question(s) and methodological approach. Users are encouraged to take time to explore the full range of available variables — especially those that may serve as controls, contextual indicators, confounders, mechanisms, or modifiers — to ensure thoughtful and well-supported analytic decisions. Other important considerations may include developmental functioning, broader family supports, and early adverse and protective exposures.",,,,,Interpreting Data,The IBQ-R (VSF)+BI and ECBQ (VSF)+BI measure normative variations in infant and child behavior and should be interpreted in the context of the child’s age and developmental stage. These instruments are not clinical or diagnostic tools.,IBQ-R vs ECBQ Administration at V05,"At V05 (10–17 months), participants could be administered either the IBQ-R (validated for ages 3–12 months) or the ECBQ (validated for ages 18–36 months), depending on their age at the visit. Because no validated measure exists for 12–18 months, researchers are advised to select the instrument that best aligns with their study design. The HBCD protocol spans this age gap, so the decision was made to administer the IBQ-R to all infants at V03 and V05.

However, early in data collection, the ECBQ was inadvertently administered to infants older than 12 months (N=78). In a small number of cases (N=10), caregivers had not completed all of their V05 remote surveys before the child aged into the ECBQ range, resulting in both measures being administered at V05. Although IBQ-R and ECBQ assess similar constructs, they are not interchangeable. Users should review measure-specific properties before incorporating these data into analyses.",,,,,,,
Infant Nutrition Questionnaire,,nutrition,,Infant Nutrition Questionnaire,Physical Health,ph_cg_inq,Nutrition,,V05,Parent Interview,Yes,Parent on Child,Birth Parent or Primary Caregiver,HBCD Study Staff or Self,,either,10 min,"Monitor data dashboard for variable missingness, possible coding errors, and data consistency.",,,,,,,,,,,,,,,,,,,
Infant Sensor Questionnaire 1/2/3,,inf_sensor_q,,Infant Sensor Questionnaire 1/2/3,Novel Tech & Wearable Sensors,nt_ch_sens__qtn_{1|2|3},"Motor Development, Regulation (Sleep/Wake)",,"V02, V03",Parent Survey,Yes,Parent on Child,Primary Caregiver,,,remote,,"When no survey responses were received, research assistants were contacted to confirm whether the surveys had been sent to participants as intended. The most common cause of missing responses was caregiver non-response, and less commonly due to human error (preferred contact/contact method not selected by RA) or technological malfunction.",,,,,,,,,,,,,,,,,,,
Lead Exposures,,lead,,Lead Exposures,Social & Environmental Determinants,sed_cg_ledexp,Lead Exposures,,V05,Parent Survey,Yes,Parent on Child,Birth Parent or Primary Caregiver,Self-administered in-person or remotely,,either,5 min,Response proportions and unusual missing patterns were reviewed.,,,,"Incidents of pediatric lead poisoning have previously been linked to consumption of certain imported candies and food colorings, traditional remedies, or food storage vessels (<a href=""https://www.cdc.gov/mmwr/preview/mmwrhtml/00055939.htm"">CDC 1998</a>; <a href=""https://www.cdc.gov/lead-prevention/prevention/foods-cosmetics-medicines.html"">CDC 2025</a>). The identification of these specific sources in the Lead Exposures questionnaire is based on documented cases of lead poisoning tied to specific products and should not be interpreted as highlighting any group as having particularly high risk as a result of their race or ethnicity. It is important to recognize that products and sources others than those specifically listed may contain hazardous levels of lead.",,,,,,,,,,,,,,,
MacArthur-Bates CDI,,mb_cdi,MB-CDI,"MacArthur-Bates Communicative Development Inventories, Words and Gestures",Neurocognition & Language,"ncl_ch_cdiwgen
ncl_ch_cdiwges",Language Development,,"V04, V06",Parent Survey,Yes,Parent on Child,Birth Parent or Primary Caregiver,,,in-person,20-60 min,"HBCD SOPs instruct RAs to present instructions exactly as shown in the existing <a href=""https://webcdi.org/static/webcdi/pdf/webCDIManual.pdf"" target=""_blank"">Web-CDI Manual</a>.

All data collection, calculation of summary scores, and percentile scores are completed within Web-CDI and then imported into the HBCD database. Data were reviewed to verify that fields are appropriately labeled upon import, and range checks of all summary variables were performed.",,"All summary scores (e.g. <strong>Total Gestures</strong>, <strong>Words Understood</strong>, <strong>Words Produced</strong>) and associated percentiles (with and without adjustment for child sex) were computed within Web-CDI using the most updated norms within that software and described in MacArthur-Bates User's Guide and Technical Manual, 3rd Edition (Marchman, Dale, and Fenson, 2023).

The child’s age at administration for purposes of scoring the CDI is entered by the caregiver as part of the Web-CDI form. The caregiver also notes on this form if the child was born prematurely and if so, by how many weeks. The Web-CDI then provides percentile scores both unadjusted and adjusted for prematurity. See <a href=""https://webcdi.org/static/webcdi/pdf/webCDIManual.pdf"">https://webcdi.org/static/webcdi/pdf/webCDIManual.pdf</a>.",,"The CDI forms are well-documented and widely used assessments. We note that percentile scores were calculated based on the norms described in MacArthur-Bates User's Guide and Technical Manual, 3rd Edition (Marchman, Dale, and Fenson, 2023), see additional references below. See <a href=""#hbcd-mod"">HBCD Modifications</a> for a description of how the CDI-WG is administered to children with exposure to different languages; users may want to consider the <a href=""../mlds"" target=""_blank"">Multilingual Language Development</a> questionnaire in conjunction with the CDI.",,,,,,"The CDI-WG provides percentiles score but does not provide standard scores. Note that in some cases, the caregiver endorsed all items in certain sections of the Web-CDI form. These cases are included in the released data as completed by the caregiver, but users may take caution in interpretation.

In addition, the CDI includes a benchmark age that is based on entry by the caregiver. Note that the CDI is not administered until 9 months of age and data entry errors may occur. Users may want to use this in conjunction with other data on the child's age included elsewhere in HBCD.",,,,,,,,,
Medical History Questionnaire,,med_hist,,Medical History Questionnaire,Physical Health,ph_cg_ecls__medhist,Medical History,,"V04, V06",Parent Interview,Yes,Parent on Child,Birth Parent or Primary Caregiver,HBCD Study Staff or Self,,either,10 min,"Monitor data dashboard for variable missingness, possible coding errors, and data consistency.",,,,"When using HBCD data, all data users must agree to responsible use as described in the DUC. When conceptualizing studies, analyzing data, and communicating findings from studies that use variables within the Medical History Form, it is critical to consider strategies to avoid stigmatization of any groups and perpetuating harmful biases.",,,,,,,,,,,,,,,
MRI Scan Session & Data Summary Forms,2 tables- make manually?,mri_forms,,MRI Scan Session Summary Form / MRI Data Summary Form,Tabular Imaging,mri_ra_chkl_scan / mri_ra_chkl_data,Pre-/Post-MRI Tech Checklists 1 <i>(Scan Session)</i> & 2 <i>(Data)<i>,,V02 - V06,MRI Technician Form,Yes,N/A: RA Form,,,,in-person,,Brief visual review of data prior to release to check for errors and missingness.,,,,,,,,,,,,,,,,,,,
Multidimensional Assessment Profiles - Temper Loss Scale,MANUAL,maps_tl,MAPS-TL,Multidimensional Assessment Profiles - Temper Loss Scale,Behavior & Caregiver-Child Interactions,mh_cg_mapdb__inf,Irritability,,V03,Parent Survey,Yes,Parent on Child,Primary Caregiver,,,remote,5 min,"Examine missingness by counting items answered per participant.
Check age is within expected ranges  (3-9/10-17 months for Infant/Toddlerhood).
Review summary statistics and visualizations (item frequencies, age, prorated scores).
Assess reliability (Cronbach’s α).",,,,,,,,,,,,,,,,,,,
Multilingual Language Development Screener,,mlds,MLDS,Multilingual Language Development Screener,Neurocognition & Language,ncl_ch_mlds,Multilingual Exposure,,"V03, V04, V05, V07",Parent Survey,Yes,Parent on Child,Primary Caregiver,Self-administered remotely,"If the caregiver does not complete the assessment remotely, it is conducted at the visit to document the child’s language exposure environments. The instrument can be administered by an HBCD Study team member in-person or via video as needed.",remote,3-10 min,Monitor frequency of decline to answer and completeness during data collection (initial data showed that about 10% of questionnaires were not complete).,,,,,,,,,,"This measure assesses a child’s exposure to language to guide the selection of appropriate measures for their next in-person study visit. It estimates the percentage of time the child is exposed to languages in caregiving environments, based on caregiver reports. These estimates are approximate and also may not account for all languages the child encounters. The measure does not evaluate or quantify the child’s interactions or their expressive or receptive language skills in a given language, but rather provides an estimate of the time spent in environments where specific languages are spoken.",,,,,,,,,
Olink Explore 384 Inflammation 1 Panel,,olink,Olink,Olink Explore 384 Inflammation 1 Panel,Biospecimen & Omics,,Maternal Inflammation,"└── proteins/olink/inflammation/
    ├── Olink_allplates_long.csv
    └── Olink_allplates_wide.csv",V01,Direct Assessment,No,,Pregnant Participant,,,in-person,,"Olink internal assay controls include extension (used for normalization to generate NPX values), incubation, and amplification controls used to monitor assay performance and individual sample quality. See the <a href=""https://7074596.fs1.hubspotusercontent-na1.net/hubfs/7074596/01-User%20Manuals%20for%20website/1187-olink-explore-overview-user-manual.pdf"">Olink® Explore Overview (<em>section 7.1 Internal controls</em>)</a> for details. Proteins that did not meet Olink’s quality control criteria (N=10) have values of <em>0</em> for <code>{ASSAY}_Count</code> and <em>NA</em> for <code>ExtNPX</code>, <code>NPX</code>, and <code>PCNormalizedNPX</code>.",,,,,,,,,,"74 samples that were run in this batch are not included in this data release. However, data normalized by median plate intensity included NPX values from these excluded subjects. We anticipate that these subjects will be included in later data releases.",,"Limits of detection (LOD) were not calculated for this release. Users should compute LOD values using negative control (NC) samples. Proteins with a high proportion of values below the LOD should be excluded or interpreted with caution. 14 assays have low NC counts and calculating LOD based on NPX is not appropriate, so these assays should also be interpreted with caution.",,,,,,,
Partner Dynamics Extended,,ehits,eHITS,"Partner Dynamics Extended – Hurt, Insult, Threaten, Scream",Social & Environmental Determinants,sed_bm_ehits,Intimate Partner Violence,,V01,Parent Interview,No,Parent on Self,,,,in-person,2 min,"Monitor data dashboard for variable missingness, possible coding errors, scoring verification, and data consistency.","Various research groups made minor word changes. Sherin and colleagues developed the original instrument, HITS, published in 1998. Chan and colleagues expanded HITS to include a question regarding forced sexual activity <a href=""https://doi.org/10.1177/102490791001700202"">Chan et al. 2010</a>. To acknowledge these changes in future publications, we recommend including the exact verbiage of the HBCD-version of the item in the methods section of any reports, presentations, and manuscripts.",,,,,,,,,,,,,,,,,,
Pediatric Adverse Childhood Experiences,,pedaces,Ped ACEs,Pediatric Adverse Childhood Experiences,Social & Environmental Determinants,sed_cg_pedaces ,Adverse Childhood Experiences (Child),,"V04, V06",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal and Family Psychiatric History,,fam_mh,FAM MH,Personal and Family Psychiatric History,"Pregnancy & Exposure, Including Substance Use",pex_bm_psych,Personal and Family Mental Health,,V01,Parent Survey,No,Parent on Self,Pregnant Participant,Self-administered in-person,,either,5 min,Response distributions reviewed for outliers,,,,,,,,,,,,,,,,,,,
PhenX+ Neighborhood Safety,,nbhsaf,,PhenX+ Neighborhood Safety,Social & Environmental Determinants,sed_bm_nbhsaf,Neighborhood Safety,,"V01, V02, V07, V09",Parent Survey,No,,,Self-administered in-person or remotely,,either,1 min,Data dashboard monitored for missingness.,,,,,,,,,,,,,,,,,,,
Pre-Scan Questionnaire,,prescan_q,,Pre-Scan Questionnaire,Tabular Imaging,mri_ra_prep,Infant Sleep Environment,,V02 - V06,Parent Interview,Yes,Parent on Child,,,,,,"Data dashboard monitored for variable missingness, coding errors, and data consistency",,,,,,,,,,,,,,,,,,,
PROMIS Perceived Stress/Social Support,,promis,PROMIS,Patient-Reported Outcome Measurement Information System Perceived Stress/Social Support,Social & Environmental Determinants,sed_bm_strsup,Perceived Stress/Social Support,,"V01, V02, V03",Parent Survey,Yes,Parent on Child,Primary Caregiver,,,remote,4 min,"Monitor data dashboard for variable missingness, possible coding errors, scoring verification, and data consistency.",Response options for the PROMIS were modified to include the addition of “Don’t know” and “Decline to answer.”,,,,,,,,,,,,,,,,,,
Protective and Compensatory Experience,,paces,PACEs,Protective and Compensatory Experience,Social & Environmental Determinants,,Protective Factors,,V01,Parent Survey,No,Parent on Self,,Self-administered in-person or remotely,,,,,,,,,,,,,,,,,,,,,,,
Screen-Based Media Use,,screenq,ScreenQ,Screen-Based Media Use,Physical Health,ph_cg_screenq,Media Use,,"V04, V06",Parent Interview,Yes,Parent on Child,Birth Parent or Primary Caregiver,HBCD Study Staff or Self,,either,5 min,"Monitor data dashboard for variable missingness, possible coding errors, scoring verification, and data consistency.","The HBCD ScreenQ includes additional response options ""Decline to answer"" and ""Don’t know."" The impact on scoring is described under Scoring Procedures below. In addition, when the child is mentioned, pronouns were changed from he/she to “the child” for gender neutrality.","The ScreenQ is scored in 4 domains: Access (7 point max), Frequency (8 point max), Content (6 point max), and Co-Viewing (6 point max). The sum of these domains gives the Total score with range 0-27. A summary score is not computed if data are missing. Note that ""Decline to answer"" and ""Don’t know"" (additional response options incorporated for HBCD) are both considered missing/non-responses; any questionnaire that includes those answers should not have a summative score calculated. Researchers can decide independently how to handle missingness. See full scoring procedures <a href=""https://drive.google.com/open?id=1BBjsyc3eY68C95x8Zhn75XyKpaNdypNF"">here</a>.",,,,,,,,,,,,,,,,,
Second Hand Smoke Exposure,,shs,,Second Hand Smoke Exposure,Social & Environmental Determinants,sed_cg_shs,Second Hand Smoke,,V05,Parent Survey,Yes,Parent on Child,Birth Parent or Primary Caregiver,Self-administered in-person or remotely,,either,1 min,Response missingness and proportions were reviewed.,"Prompts for instruction items were modified to be consistent with the housing/residence description and remove information on dose of exposure (given lack of validation of dose-related information). Two items were removed: 2 1b (<i>""How often, on average, are cigarettes smoked inside the child’s home or dwelling?""</i>) and 3 2b-e (<i>Specifics on non-cigarette products used most often, and their frequency</i>).",Responses can be used in binary form (yes/no).,,,,,,,,"Participants report information for the child’s primary residence. If a child spends at least 2-days per week in multiple homes, reporters are asked to provide information for the home they are most familiar with. As a result, exposures to secondhand smoke or chemicals in those additional environments is not captured, which may result in incomplete exposure data.",,,,,,,,,
Sensory Processing Measure-2,,spm_2,SPM-2,Sensory Processing Measure-2,Neurocognition & Language,"ncl_cg_spm2__inf (Infant version)
ncl_cg_spm2__tod (Toddler version)",Sensory Processing/Integration,,V03 (Infant); V05 (Toddler),Parent Survey,Yes,Parent on Child,Primary Caregiver,Self-administered remotely,,remote,12 min,Periodic review of data capture to ensure that items are being fully completed and spot checks on scoring to assure algorithms are being correctly employed.,,"The proprietary reference sample tables from which the SPM-2 summary scores were derived are available from Western Psychological Services (Parham et al. 2021). These items contain imputed scores based on tables from the publisher. At this time, released data does not specify the exact items that have been imputed.",,,,,,,"Addition of Response Option ""Decline to answer""","The response option ""Decline to answer"" was added on November 8, 2024 to allow participants to not answer any questions they choose. However, ""Decline to answer"" is not a response option on the published form and was not used in the reference sample from which the standard scores were derived. It is possible that participants chose “Decline to Answer” rather than “never” for behaviors that have never been seen (for example items related to reacting to food texture for an infant who has not been exposed to solids).",,,,,,,,,
Study Navigator Contact Form,,study_nav,,Study Navigator Contact Form,Administrative,,Recruitment/Retention,study_navigator/,Filled out by the Study Navigator during and/or between study visits.,Parent Interview,,,Primary Caregiver,,,either,,"This form is under development for HBCD. Data was collected with guidance using the <a href=""../SNContactFormCompanionGuideOutline_Pilot_V4-HH.pdf"" target=""_blank"">HBCD Study Navigation Contact Form Guide</a>. Data review and cleaning has occurred 3 times (September 2024, February 2025, and November 2025). Minor updates to the form and the form guide were completed in September 2024 and October 2025.",,,,"Study Navigators were strongly encouraged, but not required, to fill out the Study Navigator Contact Form. Guidance was provided to complete the contact form as soon as possible (within 24 hours) after a contact with a participant. Study Navigators were also provided with the option to complete the form to document multiple contacts within a specific time or for a specific participant (text messages, phone calls, etc.). The data is subject to recall bias.",,,,,Background Information,"The Study Navigator Contact Form was created for the HBCD Study as a document for characterizing participant contacts and support. The form was developed by integrating metrics from documents used in similar support professions (e.g. certified peer support, case managers, doulas, social workers, etc.). Use of the form was strongly encouraged, but not mandatory for Study Navigators to complete.",Variation Across Sites,"There is wide variation across HBCD sites and Study Navigators in use of the forms, which should be considered in any analyses conducted and conclusions drawn using contact form data. Additionally, some HBCD sites provided study navigator support to all participants, and some sites focused support on participants with substance use and/or participants experiencing significant adversities.",,,,,,,
Substance Use Patterns in Pregnancy,,subst,,Substance Use Patterns in Pregnancy,"Pregnancy & Exposure, Including Substance Use",pex_bm_subst,Substance Use in Pregnancy,,V02,Parent Survey,No,Parent on Self,Birth Parent,Self-administered in-person,,in-person,5 min,Response distributions are reviewed for outliers and additionally cross-checked with ASSIST V1/V2 to ensure consistency in reported substances.,,,,"HBCD participants are relying on data users to be respectful and to minimize potential harms (such as stigmatization) when analyzing data and reporting analyses. For a brief discussion of how stigma and stereotyping affect people with substance use disorder, see this National Institute of Drug Abuse (NIDA) website: <a href=""https://nida.nih.gov/research-topics/stigma-discrimination#address"">https://nida.nih.gov/research-topics/stigma-discrimination#address</a>.

When using these data, please consider the context in which HBCD collected data on the use of substances. HBCD focuses on the impact of exposures on child development; therefore, substance exposure was assessed rather than the legality of the drug or its misuse. There is a significant difference between the “use” of a substance, which may or may not be legal, and the “misuse” of that substance. It is not, for instance, appropriate to describe participants who used substances as “addicts” or as having a “substance use disorder” because we did not collect information on such diagnoses. A number of drugs for which we gathered data, although open to misuse, could have been prescribed. These include methadone, buprenorphine, Adderall, and even certain cannabis products. While a participant’s use may or may not have been consistent with prescribed indications, we have not collected such information, nor have we collected information addressing the motivation for use.

For recommended language related to substance use, please see the NIDA website: <a href=""https://nida.nih.gov/nidamed-medical-health-professionals/health-professions-education/words-matter-terms-to-use-avoid-when-talking-about-addiction""><i>Words Matter - Terms to Use and Avoid When Talking About Addiction</i></a>.

We suggest that while designing and reporting analyses, users consider additional factors that may be more common among individuals with prenatal substance use and likely affect many outcomes of interest. Data users can minimize potential experimental biases by including appropriate additional variables that assess participants’ other relevant exposures and social contexts. HBCD has collected many such variables, some of which might serve as confounders or modifiers in analyses of substance use variables from this instrument.

Please take care not to overinterpret your results or to make assumptions about causation if your analysis is not designed for causal inference.  We cannot control how other people, such as policy makers, educators, or clinicians, use the results of our research, but we can minimize risks of misuse by such non-scientist constituencies by being very clear, in papers and presentations, about the limits of our findings.",,,,,,"The SU Patterns in Pregnancy measure is administered only to participants who endorsed substance use on the V1 or V2 ASSIST. Because the measure was added one year after study enrollment began, its availability varies across participants. Most participants completed the measure at V2; however, early enrollees (~1,200 participants) who had already finished V2 before its introduction instead received it at their next available visit, which was as late as Visit 5.

The form captures general patterns of substance use by trimester and is intended to complement (1) the Timeline Followback (TLFB), which focuses on specific weeks of use during pregnancy, and (2) biospecimen data, which have variable look-back periods. However, some participants only consider <i>use after pregnancy recognition</i> as 'pregnancy use,' which may result in discrepancies between this measure, the ASSIST, and the TLFB.",,,,,,,,,
Timeline Follow Back,,tlfb,TLFB,Timeline Follow Back,"Pregnancy & Exposure, Including Substance Use",pex_bm_tlfb,Substance Use Before and During Pregnancy,,"V01, V02",Parent Interview,No,Parent on Self,Birth Parent or Primary Caregiver,HBCD Study Staff,self-administered in Alabama,in-person,10 min,Response distributions are reviewed for outliers and additionally cross-checked with ASSIST V1/V2 to ensure consistency in reported substances.,,,,"HBCD was designed to enable the characterization of the known fluctuation in substance use across the perinatal period critical for advancing prevention and intervention (<a href=""https://doi.org/10.1016/j.ntt.2021.107035"">Massey et al., 2021</a>, <a href=""https://doi.org/10.1016/j.drugalcdep.2022.109351"">Bandoli et al., 2022</a>, <a href=""https://doi.org/10.1016/j.dcn.2024.101432"">Si et al., 2024</a>).

Moreover, characterization of between- and within-person variability in substance use has been shown to enhance the sensitivity and specificity of risk prediction (<a href=""https://doi.org/10.1016/j.ntt.2021.107035"">Massey et al., 2021</a>, <a href=""https://doi.org/10.1016/j.ntt.2018.06.002"">Massey et al., 2018</a>). Thus, the characterization of patterns or trajectories of use should be considered over the use of dichotomous exposure characterization. Another gap in literature concerns the extent, nature, and implications of polysubstance use during pregnancy since individual substances have primarily been examined alone in prior research (<a href=""https://doi.org/10.1016/j.ntt.2018.06.002"">Massey et al., 2018</a>). The power and scope of HBCD avails a unique opportunity to understand the prevalence and implications of such ‘real world’ patterns of substance use.",,,,,Sampling Window and Coverage Limitations,"The sampling covers specific weeks before pregnancy (Weeks 1-2) and during pregnancy (Weeks 3-9). Consequently, substance use reported outside these weeks may not appear in the TLFB, and a positive biospecimen may lack corresponding TLFB data for the same reason. This sampling approach balances participant burden (avoiding a full 40-week TLFB) with capturing key pregnancy phases when behaviors often shift, such as before and after pregnancy recognition and in late pregnancy.",Notes on Reporting Format and Data Variability,"Participants were asked to report occasions (except cigarettes/cigarillos and drinks, reported as number), but some substances (e.g. electronic cigarette devices) are difficult to report in occasions and have outliers.",,,,,,,
Transitions in Care Screener,,tic,TIC,Transitions in Care Screener,Social & Environmental Determinants,sed_cg_tic_screener,Documents when children spend time living in non-parental care/change in who provides primary care,,V02 onward,Parent Interview or Survey,Yes,Parent on Child,Birth Parent or Primary Caregiver,,RA administered via phone,remote,5 min,"Monthly data consistency checks to identify discrepancies across submissions.
Resolution of contradictory site responses, such as inconsistencies in site responses where reported answers about whether a TIC had or had not “ever” occurred conflicted with the information recorded in TIC Screeners. Sites were contacted for clarification and correction.
Follow-up on data entry issues, including missing or incomplete responses, conflicting information across multiple forms, and TIC being filled out for a later time point than when the transition occurred (e.g., V06 TIC available for TIC that occurred at V02).",,,,"TIC information alone or cross-tabulated with other HBCD data can result in cells containing data from 1 to 10 persons (“small cells”). Small cells increase the risk that a participant can be identified. Under the NBDC Data Use Certification agreement (DUC, Terms and Conditions # 5), you agreed NOT to use data from NBDC in a manner that establishes the individual identity of study participants or establishes identities of their relatives. The DUC also prohibits you from publishing or otherwise disseminating derived data that could help identify persons. To help maintain anonymity, you agreed to use a minimum cell threshold of 10 in publications or other public reporting of the data and analyses.",,,,,,"Typically, there is only one birth parent TIC Screener form per timepoint. However, if a TIC occurred, there is sometimes one TIC screener filled out when talking to the birth parent and a second screener filled out when talking to the alternate caregiver. This is not an error but reflects how these data were collected. If a TIC occurred, another possibility is that there is only an alternate caregiver TIC form (and not a birth parent form because we were unable to get in touch with the birth parent).",,,,,,,,,
USDTL Nails Toxicology (Maternal),2 files,nails,Nails,USDTL Nails Toxicology (Maternal),Biospecimen & Omics,"bio_bm_biosample_nails_results
bio_bm_biosample_nails_type","Drug Panel, Environmental Exposure",,"V01, V02",Direct Assessment,No,,Pregnant Participant or Birth Parent (as applicable),Self-administered in-person,,in-person,5 min,Examine assay ranges and categorical versus continuous measures,,,,,,,,,USDTL Screening Updates,"As of November 2025, USDTL no longer assayed sufentanil in the nail samples.",Continuous Variables,"Continuous variables should be interpreted with caution based on limits of quantification (LOQ), i.e. the minimum concentration at which metabolites can be reliably quantified. See <a href=""#nails-table1"">Urine Assay Thresholds for Analytes</a>.",Updated Workflow,"As of July 1, 2024, the nail processing workflow was updated to optimize specimen use and allow confirmation testing for low sample quantities. Prior to this update, remnants of ELISA extract were not used for confirmation when specimens had insufficient sample.",Large Gaps Between Collection and Analysis Dates,"A substantial number of samples show unusually long intervals between collection and analysis (e.g., over 100–300 days, compared to the 30-day limit specified by internal SOPs). We are working to determine whether this reflects a data entry or site-level issue and will provide an update once more information is available.",Interpretation of “QNS” in Confirmatory Results When a Positive Is Expected,"In some cases, a specimen’s initial test meets the threshold for a positive result, but the confirmatory result is reported as “QNS” (Quantity Not Sufficient). This occurs when there is not enough specimen to conduct a confirmatory test or a confirmatory test must be repeated (following quality control procedures, e.g. unacceptable chromatography, poor recovery, or when a sample result is <5% of the previous specimen), but insufficient sample remains to complete the repeat test. Because the results could not be validated, this should be treated as a true quantity insufficiency.",
